,name,score,rank,popularity,members,date,channel
234,Guilty Crown,7.44,#1892,#97,"1,115,333",Fall 2011,TV
235,Vinland Saga,8.73,#43,#102,"1,084,604",Summer 2019,TV
236,Clannad: After Story,8.94,#18,#105,"1,075,204",Fall 2008,TV
237,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,#447,#116,"1,011,723",Spring 2014,TV
238,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,#121,#131,"924,901",Spring 2016,TV
239,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.37,#185,#132,"924,589",Summer 2020,TV
240,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,#184,#133,"922,906",Winter 2021,TV
241,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,#145,#134,"922,704",Winter 2015,TV
242,Fullmetal Alchemist: Brotherhood,9.14,#1,#3,"2,868,142",Spring 2009,TV
243,Sword Art Online,7.2,#2964,#5,"2,737,387",Summer 2012,TV
244,Tokyo Ghoul,7.8,#880,#7,"2,474,684",Summer 2014,TV
245,Naruto,7.97,#603,#8,"2,467,248",Fall 2002,TV
246,Kimetsu no Yaiba,8.55,#91,#9,"2,408,616",Spring 2019,TV
247,Hunter x Hunter (2011),9.05,#8,#10,"2,351,602",Fall 2011,TV
248,No Game No Life,8.11,#432,#15,"2,143,369",Spring 2014,TV
249,Naruto: Shippuuden,8.24,#280,#16,"2,100,191",Winter 2007,TV
250,Noragami,7.97,#604,#22,"1,922,589",Winter 2014,TV
251,Re:Zero kara Hajimeru Isekai Seikatsu,8.25,#275,#23,"1,911,745",Spring 2016,TV
252,One Piece,8.64,#67,#26,"1,861,846",Fall 1999,TV
253,Jujutsu Kaisen (TV),8.69,#52,#27,"1,834,033",Fall 2020,TV
254,Akame ga Kill!,7.47,#1748,#28,"1,831,161",Summer 2014,TV
255,Nanatsu no Taizai,7.71,#1081,#30,"1,822,649",Fall 2014,TV
256,Sword Art Online II,6.71,#5245,#33,"1,764,941",Summer 2014,TV
257,Ao no Exorcist,7.52,#1603,#34,"1,728,704",Spring 2011,TV
